Processes,Latency
2,0.14
4,0.20
6,0.54
8,0.76
10,1.31
12,1.07
14,1.02
16,1.18
18,1.92
20,1.62
22,1.51
24,1.50
26,1.50
28,1.42
30,1.41
32,1.83
34,2.89
36,2.51
38,2.34
40,2.19
42,2.07
44,2.10
46,2.20
48,2.14
50,2.17
52,2.74
54,2.00
56,2.02
58,2.09
60,2.29
62,2.18
64,1.73
66,1.98
68,2.26
70,2.11
72,2.39
74,2.21
76,2.24
78,2.46
80,2.44
82,2.63
84,2.62
86,3.10
88,2.74
90,3.19
92,3.10
94,3.12
96,2.72
98,2.83
100,2.73
102,2.97
104,2.95
106,2.99
108,2.94
110,3.16
112,3.14
114,3.40
116,3.42
118,3.75
120,3.68
122,3.92
124,3.72
126,4.12
128,3.26
130,3.33
132,3.12
134,3.18
136,2.86
138,3.13
140,2.88
142,3.26
144,2.89
146,3.40
148,3.59
150,4.26
152,3.23
154,3.75
156,3.50
158,3.80
160,4.57
162,4.99
164,5.92
166,5.93
168,6.11
170,7.11
172,6.52
174,7.13
176,5.43
178,5.81
180,6.05
182,7.13
184,6.17
186,6.76
188,6.82
190,7.36
192,6.31
194,6.80
196,7.08
198,7.60
200,6.81
202,7.60
204,8.16
206,8.69
208,7.81
210,8.30
212,8.78
214,10.11
216,9.40
218,11.44
220,11.15
222,12.18
224,7.30
226,8.26
228,8.36
230,10.00
232,8.40
234,9.78
236,9.86
238,12.11
240,10.42
242,10.74
244,11.14
246,13.23
248,11.28
250,12.66
252,12.51
254,14.76
